Annee,Mois,Valeur,Date parution au JO
2020,8,115.4,20/11/2020
2020,7,114.9,16/10/2020
2020,6,115.2,16/09/2020
2020,5,114.5,23/08/2020
2020,4,114.8,17/07/2020
2020,3,115.2,19/06/2020
2020,2,115.0,16/05/2020
2020,1,114.5,14/05/2020
2019,12,114.3,21/03/2020
2019,11,114.2,15/02/2020
2019,10,113.9,17/01/2020
2019,9,113.5,20/12/2019
2019,8,113.9,16/11/2019
2019,7,113.9,19/10/2019
2019,6,113.5,21/09/2019
2019,5,113.4,23/08/2019
2019,4,113.4,19/07/2019
2019,3,112.7,22/06/2019
2019,2,112.4,16/05/2019
2019,1,112.4,18/04/2019
2018,12,112.2,23/03/2019
2018,11,112.1,19/02/2019
2018,10,111.9,19/01/2019
2018,9,111.3,21/12/2018
2018,8,111.4,15/11/2018
2018,7,111.6,12/10/2018
2018,6,111.2,15/09/2018
2018,5,111.2,17/08/2018
2018,4,110.8,17/07/2018
2018,3,110.7,27/06/2018
2018,2,110.4,16/05/2018
2018,1,110.2,03/05/2018
2017,12,109.9,22/03/2018
2017,11,109.2,21/02/2018
2017,10,109.2,17/01/2018
2017,9,108.9,22/12/2017
2017,8,109.6,15/11/2017
2017,7,108.8,13/10/2017
2017,6,108.6,16/09/2017
2017,5,108.7,11/08/2017
2017,4,108.8,16/07/2017
2017,3,108.4,05/07/2017
2017,2,108.5,14/05/2017
2017,1,108.4,15/04/2017
2016,12,108.2,21/03/2017
2016,11,107.9,15/02/2017
2016,10,107.9,14/01/2017
2016,9,107.8,21/12/2016
2016,8,107.8,17/11/2016
2016,7,107.5,13/10/2016
2016,6,107.5,21/09/2016
2016,5,107.2,13/08/2016
2016,4,106.8,14/07/2016
2016,3,106.6,22/06/2016
2016,2,106.5,15/05/2016
2016,1,106.4,14/04/2016
2015,12,106.3,24/03/2016
2015,11,106.1,14/02/2016
2015,10,106.0,16/01/2016
2015,9,106.0,23/12/2015
2015,8,106.0,21/11/2015
2015,7,106.1,16/10/2015
2015,6,106.0,20/09/2015
2015,5,106.1,18/08/2015
2015,4,106.0,26/07/2015
2015,3,105.9,20/06/2015
2015,2,105.8,17/05/2015
2015,1,105.5,18/04/2015
2014,12,105.8,15/03/2015
2014,11,105.7,15/02/2015
2014,10,106.4,16/01/2015
