Annee,Mois,Valeur,Date parution au JO
2020,8,115.6,20/11/2020
2020,7,115.4,16/10/2020
2020,6,115.3,16/09/2020
2020,5,115.0,23/08/2020
2020,4,115.2,17/07/2020
2020,3,115.6,19/06/2020
2020,2,115.8,16/05/2020
2020,1,115.6,14/05/2020
2019,12,115.2,21/03/2020
2019,11,115.0,15/02/2020
2019,10,114.8,17/01/2020
2019,9,114.5,20/12/2019
2019,8,115.1,16/11/2019
2019,7,115.1,19/10/2019
2019,6,114.7,21/09/2019
2019,5,114.6,23/08/2019
2019,4,114.5,19/07/2019
2019,3,113.8,22/06/2019
2019,2,113.4,16/05/2019
2019,1,113.2,18/04/2019
2018,12,113.3,23/03/2019
2018,11,113.1,19/02/2019
2018,10,113.0,19/01/2019
2018,9,112.5,21/12/2018
2018,8,112.7,15/11/2018
2018,7,112.6,12/10/2018
2018,6,112.0,15/09/2018
2018,5,112.0,17/08/2018
2018,4,111.8,17/07/2018
2018,3,111.2,27/06/2018
2018,2,110.9,16/05/2018
2018,1,110.6,03/05/2018
2017,12,109.9,22/03/2018
2017,11,109.5,21/02/2018
2017,10,109.4,17/01/2018
2017,9,109.2,22/12/2017
2017,8,109.4,15/11/2017
2017,7,108.8,13/10/2017
2017,6,108.6,16/09/2017
2017,5,108.4,11/08/2017
2017,4,108.5,16/07/2017
2017,3,108.5,05/07/2017
2017,2,108.2,14/05/2017
2017,1,108.5,15/04/2017
2016,12,108.0,21/03/2017
2016,11,107.7,15/02/2017
2016,10,107.8,14/01/2017
2016,9,107.5,21/12/2016
2016,8,107.6,17/11/2016
2016,7,107.6,13/10/2016
2016,6,107.6,21/09/2016
2016,5,107.1,13/08/2016
2016,4,106.6,14/07/2016
2016,3,106.3,22/06/2016
2016,2,106.3,15/05/2016
2016,1,106.3,14/04/2016
2015,12,106.4,24/03/2016
2015,11,106.1,14/02/2016
2015,10,106.0,16/01/2016
2015,9,105.9,23/12/2015
2015,8,105.9,21/11/2015
2015,7,106.0,16/10/2015
2015,6,105.9,20/09/2015
2015,5,105.8,18/08/2015
2015,4,105.8,26/07/2015
2015,3,105.8,20/06/2015
2015,2,105.7,17/05/2015
2015,1,105.9,18/04/2015
2014,12,105.8,15/03/2015
2014,11,105.6,15/02/2015
2014,10,105.8,16/01/2015
