Annee,Mois,Valeur,Date parution au JO
2020,8,114.8,20/11/2020
2020,7,114.4,16/10/2020
2020,6,114.1,16/09/2020
2020,5,113.8,23/08/2020
2020,4,113.7,17/07/2020
2020,3,113.5,19/06/2020
2020,2,113.8,16/05/2020
2020,1,113.5,14/05/2020
2019,12,113.3,21/03/2020
2019,11,113.6,15/02/2020
2019,10,113.3,17/01/2020
2019,9,113.3,20/12/2019
2019,8,113.7,16/11/2019
2019,7,113.0,19/10/2019
2019,6,113.5,21/09/2019
2019,5,113.6,23/08/2019
2019,4,113.3,19/07/2019
2019,3,112.7,22/06/2019
2019,2,112.7,16/05/2019
2019,1,111.9,18/04/2019
2018,12,111.8,23/03/2019
2018,11,111.8,19/02/2019
2018,10,112.2,19/01/2019
2018,9,112.0,21/12/2018
2018,8,112.5,15/11/2018
2018,7,112.3,12/10/2018
2018,6,112.1,15/09/2018
2018,5,111.7,17/08/2018
2018,4,111.5,17/07/2018
2018,3,111.1,27/06/2018
2018,2,111.5,16/05/2018
2018,1,111.0,03/05/2018
2017,12,110.5,22/03/2018
2017,11,110.7,21/02/2018
2017,10,110.5,17/01/2018
2017,9,110.0,22/12/2017
2017,8,110.0,15/11/2017
2017,7,109.4,13/10/2017
2017,6,109.2,16/09/2017
2017,5,109.6,11/08/2017
2017,4,109.2,16/07/2017
2017,3,109.1,05/07/2017
2017,2,109.2,14/05/2017
2017,1,109.1,15/04/2017
2016,12,109.1,21/03/2017
2016,11,108.1,15/02/2017
2016,10,108.3,14/01/2017
2016,9,108.0,21/12/2016
2016,8,108.1,17/11/2016
2016,7,107.6,13/10/2016
2016,6,107.4,21/09/2016
2016,5,107.2,13/08/2016
2016,4,106.5,14/07/2016
2016,3,106.0,22/06/2016
2016,2,106.2,15/05/2016
2016,1,106.0,14/04/2016
2015,12,105.5,24/03/2016
2015,11,106.2,14/02/2016
2015,10,106.2,16/01/2016
2015,9,106.2,23/12/2015
2015,8,106.6,21/11/2015
2015,7,106.9,16/10/2015
2015,6,106.8,20/09/2015
2015,5,107.1,18/08/2015
2015,4,106.0,26/07/2015
2015,3,106.0,20/06/2015
2015,2,106.3,17/05/2015
2015,1,106.3,18/04/2015
2014,12,105.9,15/03/2015
2014,11,106.2,15/02/2015
2014,10,106.5,16/01/2015
