Annee,Mois,Valeur,Date parution au JO
2020,8,107.4,20/11/2020
2020,7,107.2,16/10/2020
2020,6,106.2,16/09/2020
2020,5,106.1,23/08/2020
2020,4,108.2,17/07/2020
2020,3,109.7,19/06/2020
2020,2,110.4,16/05/2020
2020,1,110.4,14/05/2020
2019,12,110.6,21/03/2020
2019,11,110.7,15/02/2020
2019,10,111.5,17/01/2020
2019,9,111.8,20/12/2019
2019,8,111.5,16/11/2019
2019,7,112.0,19/10/2019
2019,6,112.7,21/09/2019
2019,5,112.9,23/08/2019
2019,4,112.2,19/07/2019
2019,3,112.1,22/06/2019
2019,2,111.3,16/05/2019
2019,1,110.9,18/04/2019
2018,12,111.6,23/03/2019
2018,11,112.3,19/02/2019
2018,10,111.8,19/01/2019
2018,9,111.3,21/12/2018
2018,8,111.4,15/11/2018
2018,7,111.1,12/10/2018
2018,6,110.9,15/09/2018
2018,5,110.3,17/08/2018
2018,4,109.7,17/07/2018
2018,3,110.1,27/06/2018
2018,2,110.0,16/05/2018
2018,1,109.7,03/05/2018
2017,12,108.9,22/03/2018
2017,11,108.5,21/02/2018
2017,10,108.8,17/01/2018
2017,9,108.5,22/12/2017
2017,8,107.9,15/11/2017
2017,7,107.3,13/10/2017
2017,6,108.2,16/09/2017
2017,5,108.8,11/08/2017
2017,4,108.6,16/07/2017
2017,3,108.8,05/07/2017
2017,2,108.0,14/05/2017
2017,1,107.0,15/04/2017
2016,12,105.5,21/03/2017
2016,11,105.8,15/02/2017
2016,10,105.9,14/01/2017
2016,9,105.5,21/12/2016
2016,8,105.0,17/11/2016
2016,7,105.1,13/10/2016
2016,6,105.2,21/09/2016
2016,5,104.6,13/08/2016
2016,4,104.4,14/07/2016
2016,3,103.0,22/06/2016
2016,2,103.1,15/05/2016
2016,1,103.9,14/04/2016
2015,12,104.1,24/03/2016
2015,11,104.2,14/02/2016
2015,10,103.8,16/01/2016
2015,9,105.2,23/12/2015
2015,8,107.0,21/11/2015
2015,7,108.4,16/10/2015
2015,6,108.0,20/09/2015
2015,5,107.4,18/08/2015
2015,4,103.6,26/07/2015
2015,3,102.8,20/06/2015
2015,2,101.9,17/05/2015
2015,1,102.9,18/04/2015
2014,12,104.5,15/03/2015
2014,11,106.0,15/02/2015
2014,10,106.9,16/01/2015
