Annee,Mois,Valeur,Date parution au JO
2020,8,103.6,20/11/2020
2020,7,104.0,16/10/2020
2020,6,104.5,16/09/2020
2020,5,104.7,23/08/2020
2020,4,104.3,17/07/2020
2020,3,105.0,19/06/2020
2020,2,105.1,16/05/2020
2020,1,105.3,14/05/2020
2019,12,105.7,21/03/2020
2019,11,105.6,15/02/2020
2019,10,106.0,17/01/2020
2019,9,106.0,20/12/2019
2019,8,105.5,16/11/2019
2019,7,105.3,19/10/2019
2019,6,105.5,21/09/2019
2019,5,105.4,23/08/2019
2019,4,105.1,19/07/2019
2019,3,104.9,22/06/2019
2019,2,104.8,16/05/2019
2019,1,104.7,18/04/2019
2018,12,104.1,23/03/2019
2018,11,105.0,19/02/2019
2018,10,104.9,19/01/2019
2018,9,105.4,21/12/2018
2018,8,105.1,15/11/2018
2018,7,104.9,12/10/2018
2018,6,104.6,15/09/2018
2018,5,104.2,17/08/2018
2018,4,103.8,17/07/2018
2018,3,102.7,27/06/2018
2018,2,102.6,16/05/2018
2018,1,102.5,03/05/2018
2017,12,101.6,22/03/2018
2017,11,101.7,21/02/2018
2017,10,101.9,17/01/2018
2017,9,101.4,22/12/2017
2017,8,102.1,15/11/2017
2017,7,101.7,13/10/2017
2017,6,101.2,16/09/2017
2017,5,101.0,11/08/2017
2017,4,101.0,16/07/2017
2017,3,100.7,05/07/2017
2017,2,100.5,14/05/2017
2017,1,100.2,15/04/2017
2016,12,100.1,21/03/2017
2016,11,100.0,15/02/2017
2016,10,99.6,14/01/2017
2016,9,99.2,21/12/2016
2016,8,98.6,17/11/2016
2016,7,98.4,13/10/2016
2016,6,98.7,21/09/2016
2016,5,99.9,13/08/2016
2016,4,99.3,14/07/2016
2016,3,99.7,22/06/2016
2016,2,100.7,15/05/2016
2016,1,100.8,14/04/2016
2015,12,99.9,24/03/2016
2015,11,101.1,14/02/2016
2015,10,100.7,16/01/2016
2015,9,100.6,23/12/2015
2015,8,101.4,21/11/2015
2015,7,101.8,16/10/2015
2015,6,101.8,20/09/2015
2015,5,102.3,18/08/2015
2015,4,102.8,26/07/2015
2015,3,102.6,20/06/2015
2015,2,102.6,17/05/2015
2015,1,103.1,18/04/2015
2014,12,103.7,15/03/2015
2014,11,105.2,15/02/2015
2014,10,105.4,16/01/2015
