Annee,Mois,Valeur,Date parution au JO
2020,8,111.9,20/11/2020
2020,7,111.7,16/10/2020
2020,6,111.5,16/09/2020
2020,5,111.9,23/08/2020
2020,4,112.1,17/07/2020
2020,3,112.6,19/06/2020
2020,2,113.0,16/05/2020
2020,1,112.9,14/05/2020
2019,12,112.6,21/03/2020
2019,11,112.4,15/02/2020
2019,10,112.1,17/01/2020
2019,9,112.2,20/12/2019
2019,8,112.1,16/11/2019
2019,7,112.1,19/10/2019
2019,6,111.9,21/09/2019
2019,5,111.8,23/08/2019
2019,4,111.8,19/07/2019
2019,3,111.4,22/06/2019
2019,2,111.0,16/05/2019
2019,1,110.7,18/04/2019
2018,12,110.4,23/03/2019
2018,11,110.6,19/02/2019
2018,10,110.6,19/01/2019
2018,9,110.3,21/12/2018
2018,8,110.5,15/11/2018
2018,7,110.2,12/10/2018
2018,6,110.0,15/09/2018
2018,5,110.0,17/08/2018
2018,4,109.8,17/07/2018
2018,3,109.5,27/06/2018
2018,2,109.2,16/05/2018
2018,1,109.0,03/05/2018
2017,12,108.2,22/03/2018
2017,11,108.1,21/02/2018
2017,10,107.9,17/01/2018
2017,9,107.7,22/12/2017
2017,8,107.6,15/11/2017
2017,7,107.4,13/10/2017
2017,6,107.3,16/09/2017
2017,5,107.4,11/08/2017
2017,4,107.5,16/07/2017
2017,3,107.4,05/07/2017
2017,2,107.2,14/05/2017
2017,1,107.0,15/04/2017
2016,12,106.3,21/03/2017
2016,11,105.9,15/02/2017
2016,10,105.9,14/01/2017
2016,9,105.8,21/12/2016
2016,8,105.6,17/11/2016
2016,7,105.7,13/10/2016
2016,6,105.6,21/09/2016
2016,5,105.4,13/08/2016
2016,4,105.0,14/07/2016
2016,3,104.9,22/06/2016
2016,2,104.7,15/05/2016
2016,1,105.2,14/04/2016
2015,12,105.1,24/03/2016
2015,11,105.3,14/02/2016
2015,10,105.5,16/01/2016
2015,9,105.5,23/12/2015
2015,8,105.9,21/11/2015
2015,7,106.2,16/10/2015
2015,6,106.2,20/09/2015
2015,5,106.2,18/08/2015
2015,4,105.9,26/07/2015
2015,3,105.9,20/06/2015
2015,2,105.9,17/05/2015
2015,1,105.7,18/04/2015
2014,12,105.9,15/03/2015
2014,11,106.2,15/02/2015
2014,10,106.3,16/01/2015
