Annee,Mois,Valeur,Date parution au JO
2020,8,110.2,20/11/2020
2020,7,109.8,16/10/2020
2020,6,110.1,16/09/2020
2020,5,110.1,23/08/2020
2020,4,110.4,17/07/2020
2020,3,110.2,19/06/2020
2020,2,110.1,16/05/2020
2020,1,109.3,14/05/2020
2019,12,109.4,21/03/2020
2019,11,109.2,15/02/2020
2019,10,109.3,17/01/2020
2019,9,109.3,20/12/2019
2019,8,109.1,16/11/2019
2019,7,108.3,19/10/2019
2019,6,108.6,21/09/2019
2019,5,108.5,23/08/2019
2019,4,108.7,19/07/2019
2019,3,109.0,22/06/2019
2019,2,108.3,16/05/2019
2019,1,108.0,18/04/2019
2018,12,107.9,23/03/2019
2018,11,107.6,19/02/2019
2018,10,107.4,19/01/2019
2018,9,107.7,21/12/2018
2018,8,107.9,15/11/2018
2018,7,107.6,12/10/2018
2018,6,107.4,15/09/2018
2018,5,107.2,17/08/2018
2018,4,107.0,17/07/2018
2018,3,106.8,27/06/2018
2018,2,106.5,16/05/2018
2018,1,106.9,03/05/2018
2017,12,107.0,22/03/2018
2017,11,106.9,21/02/2018
2017,10,106.9,17/01/2018
2017,9,107.4,22/12/2017
2017,8,107.7,15/11/2017
2017,7,107.5,13/10/2017
2017,6,107.5,16/09/2017
2017,5,107.6,11/08/2017
2017,4,107.5,16/07/2017
2017,3,107.6,05/07/2017
2017,2,107.4,14/05/2017
2017,1,107.3,15/04/2017
2016,12,107.8,21/03/2017
2016,11,107.6,15/02/2017
2016,10,107.1,14/01/2017
2016,9,107.1,21/12/2016
2016,8,106.9,17/11/2016
2016,7,107.0,13/10/2016
2016,6,107.2,21/09/2016
2016,5,107.1,13/08/2016
2016,4,106.7,14/07/2016
2016,3,107.1,22/06/2016
2016,2,107.1,15/05/2016
2016,1,107.3,14/04/2016
2015,12,107.1,24/03/2016
2015,11,107.5,14/02/2016
2015,10,106.6,16/01/2016
2015,9,106.5,23/12/2015
2015,8,106.7,21/11/2015
2015,7,106.7,16/10/2015
2015,6,106.6,20/09/2015
2015,5,106.8,18/08/2015
2015,4,106.6,26/07/2015
2015,3,106.7,20/06/2015
2015,2,106.4,17/05/2015
2015,1,106.4,18/04/2015
2014,12,105.3,15/03/2015
2014,11,105.3,15/02/2015
2014,10,105.5,16/01/2015
