Annee,Mois,Valeur,Date parution au JO
2020,8,102.8,20/11/2020
2020,7,102.6,16/10/2020
2020,6,103.0,16/09/2020
2020,5,104.9,23/08/2020
2020,4,105.5,17/07/2020
2020,3,105.3,19/06/2020
2020,2,105.5,16/05/2020
2020,1,104.7,14/05/2020
2019,12,104.6,21/03/2020
2019,11,105.1,15/02/2020
2019,10,105.6,17/01/2020
2019,9,105.7,20/12/2019
2019,8,105.1,16/11/2019
2019,7,105.0,19/10/2019
2019,6,104.9,21/09/2019
2019,5,105.0,23/08/2019
2019,4,105.3,19/07/2019
2019,3,105.7,22/06/2019
2019,2,104.7,16/05/2019
2019,1,104.7,18/04/2019
2018,12,104.1,23/03/2019
2018,11,104.3,19/02/2019
2018,10,104.3,19/01/2019
2018,9,104.6,21/12/2018
2018,8,104.6,15/11/2018
2018,7,104.6,12/10/2018
2018,6,104.6,15/09/2018
2018,5,104.5,17/08/2018
2018,4,104.3,17/07/2018
2018,3,104.1,27/06/2018
2018,2,103.8,16/05/2018
2018,1,104.1,03/05/2018
2017,12,103.6,22/03/2018
2017,11,103.5,21/02/2018
2017,10,103.7,17/01/2018
2017,9,103.9,22/12/2017
2017,8,103.9,15/11/2017
2017,7,103.7,13/10/2017
2017,6,104.0,16/09/2017
2017,5,104.2,11/08/2017
2017,4,103.9,16/07/2017
2017,3,104.2,05/07/2017
2017,2,103.7,14/05/2017
2017,1,103.7,15/04/2017
2016,12,103.6,21/03/2017
2016,11,103.8,15/02/2017
2016,10,103.6,14/01/2017
2016,9,103.5,21/12/2016
2016,8,103.4,17/11/2016
2016,7,103.4,13/10/2016
2016,6,103.6,21/09/2016
2016,5,103.6,13/08/2016
2016,4,103.2,14/07/2016
2016,3,103.6,22/06/2016
2016,2,103.3,15/05/2016
2016,1,103.4,14/04/2016
2015,12,103.1,24/03/2016
2015,11,103.9,14/02/2016
2015,10,103.1,16/01/2016
2015,9,103.1,23/12/2015
2015,8,103.4,21/11/2015
2015,7,103.5,16/10/2015
2015,6,103.4,20/09/2015
2015,5,103.8,18/08/2015
2015,4,103.7,26/07/2015
2015,3,103.6,20/06/2015
2015,2,103.5,17/05/2015
2015,1,103.4,18/04/2015
2014,12,101.9,15/03/2015
2014,11,102.6,15/02/2015
2014,10,102.7,16/01/2015
