Annee,Mois,Valeur,Date parution au JO
2020,8,117.5,20/11/2020
2020,7,117.2,16/10/2020
2020,6,116.6,16/09/2020
2020,5,116.2,23/08/2020
2020,4,116.1,17/07/2020
2020,3,116.6,19/06/2020
2020,2,117.1,16/05/2020
2020,1,117.2,14/05/2020
2019,12,117.2,21/03/2020
2019,11,117.0,15/02/2020
2019,10,116.9,17/01/2020
2019,9,116.6,20/12/2019
2019,8,116.7,16/11/2019
2019,7,116.7,19/10/2019
2019,6,116.4,21/09/2019
2019,5,116.3,23/08/2019
2019,4,116.4,19/07/2019
2019,3,116.1,22/06/2019
2019,2,115.7,16/05/2019
2019,1,115.3,18/04/2019
2018,12,115.1,23/03/2019
2018,11,115.1,19/02/2019
2018,10,115.1,19/01/2019
2018,9,114.7,21/12/2018
2018,8,114.5,15/11/2018
2018,7,114.2,12/10/2018
2018,6,113.7,15/09/2018
2018,5,113.5,17/08/2018
2018,4,113.1,17/07/2018
2018,3,112.9,27/06/2018
2018,2,112.7,16/05/2018
2018,1,112.5,03/05/2018
2017,12,112.1,22/03/2018
2017,11,111.9,21/02/2018
2017,10,111.6,17/01/2018
2017,9,111.3,22/12/2017
2017,8,111.3,15/11/2017
2017,7,111.1,13/10/2017
2017,6,110.8,16/09/2017
2017,5,110.8,11/08/2017
2017,4,110.9,16/07/2017
2017,3,110.8,05/07/2017
2017,2,110.8,14/05/2017
2017,1,110.9,15/04/2017
2016,12,110.5,21/03/2017
2016,11,110.2,15/02/2017
2016,10,110.1,14/01/2017
2016,9,109.8,21/12/2016
2016,8,109.6,17/11/2016
2016,7,109.6,13/10/2016
2016,6,109.4,21/09/2016
2016,5,108.9,13/08/2016
2016,4,108.6,14/07/2016
2016,3,108.4,22/06/2016
2016,2,108.1,15/05/2016
2016,1,108.2,14/04/2016
2015,12,108.2,24/03/2016
2015,11,108.3,14/02/2016
2015,10,108.4,16/01/2016
2015,9,108.3,23/12/2015
2015,8,108.5,21/11/2015
2015,7,108.7,16/10/2015
2015,6,108.5,20/09/2015
2015,5,108.2,18/08/2015
2015,4,108.1,26/07/2015
2015,3,107.8,20/06/2015
2015,2,107.8,17/05/2015
2015,1,107.5,18/04/2015
2014,12,107.7,15/03/2015
2014,11,107.8,15/02/2015
2014,10,108.0,16/01/2015
