Annee,Mois,Valeur,Date parution au JO
2020,8,104.6,20/11/2020
2020,7,104.6,16/10/2020
2020,6,104.0,16/09/2020
2020,5,103.1,23/08/2020
2020,4,102.7,17/07/2020
2020,3,103.2,19/06/2020
2020,2,103.9,16/05/2020
2020,1,103.4,14/05/2020
2019,12,104.0,21/03/2020
2019,11,103.3,15/02/2020
2019,10,103.7,17/01/2020
2019,9,103.1,20/12/2019
2019,8,104.9,16/11/2019
2019,7,104.9,19/10/2019
2019,6,103.6,21/09/2019
2019,5,102.8,23/08/2019
2019,4,103.4,19/07/2019
2019,3,102.5,22/06/2019
2019,2,102.7,16/05/2019
2019,1,102.3,18/04/2019
2018,12,102.7,23/03/2019
2018,11,101.8,19/02/2019
2018,10,102.6,19/01/2019
2018,9,101.9,21/12/2018
2018,8,103.9,15/11/2018
2018,7,103.7,12/10/2018
2018,6,102.1,15/09/2018
2018,5,102.2,17/08/2018
2018,4,102.6,17/07/2018
2018,3,102.2,27/06/2018
2018,2,101.8,16/05/2018
2018,1,101.5,03/05/2018
2017,12,101.9,22/03/2018
2017,11,101.1,21/02/2018
2017,10,101.4,17/01/2018
2017,9,101.1,22/12/2017
2017,8,102.5,15/11/2017
2017,7,102.5,13/10/2017
2017,6,101.1,16/09/2017
2017,5,100.8,11/08/2017
2017,4,101.7,16/07/2017
2017,3,101.3,05/07/2017
2017,2,101.2,14/05/2017
2017,1,101.0,15/04/2017
2016,12,102.0,21/03/2017
2016,11,101.2,15/02/2017
2016,10,101.7,14/01/2017
2016,9,101.4,21/12/2016
2016,8,102.4,17/11/2016
2016,7,102.6,13/10/2016
2016,6,101.4,21/09/2016
2016,5,101.1,13/08/2016
2016,4,101.2,14/07/2016
2016,3,100.9,22/06/2016
2016,2,100.9,15/05/2016
2016,1,100.8,14/04/2016
2015,12,101.2,24/03/2016
2015,11,100.6,14/02/2016
2015,10,101.0,16/01/2016
2015,9,100.7,23/12/2015
2015,8,102.2,21/11/2015
2015,7,102.5,16/10/2015
2015,6,101.3,20/09/2015
2015,5,100.9,18/08/2015
2015,4,100.9,26/07/2015
2015,3,101.0,20/06/2015
2015,2,101.1,17/05/2015
2015,1,100.7,18/04/2015
2014,12,100.8,15/03/2015
2014,11,100.3,15/02/2015
2014,10,100.6,16/01/2015
