Annee,Mois,Valeur,Date parution au JO
2020,8,109.9,20/11/2020
2020,7,109.6,16/10/2020
2020,6,108.6,16/09/2020
2020,5,107.7,23/08/2020
2020,4,108.4,17/07/2020
2020,3,109.9,19/06/2020
2020,2,111.6,16/05/2020
2020,1,112.8,14/05/2020
2019,12,112.8,21/03/2020
2019,11,112.2,15/02/2020
2019,10,111.7,17/01/2020
2019,9,111.4,20/12/2019
2019,8,111.0,16/11/2019
2019,7,110.9,19/10/2019
2019,6,111.0,21/09/2019
2019,5,111.8,23/08/2019
2019,4,111.3,19/07/2019
2019,3,111.1,22/06/2019
2019,2,110.5,16/05/2019
2019,1,109.6,18/04/2019
2018,12,109.9,23/03/2019
2018,11,110.7,19/02/2019
2018,10,111.4,19/01/2019
2018,9,110.4,21/12/2018
2018,8,109.6,15/11/2018
2018,7,109.4,12/10/2018
2018,6,109.4,15/09/2018
2018,5,109.0,17/08/2018
2018,4,108.0,17/07/2018
2018,3,107.3,27/06/2018
2018,2,107.3,16/05/2018
2018,1,107.6,03/05/2018
2017,12,105.7,22/03/2018
2017,11,105.6,21/02/2018
2017,10,104.9,17/01/2018
2017,9,104.8,22/12/2017
2017,8,104.3,15/11/2017
2017,7,103.7,13/10/2017
2017,6,103.8,16/09/2017
2017,5,104.3,11/08/2017
2017,4,104.9,16/07/2017
2017,3,104.9,05/07/2017
2017,2,104.9,14/05/2017
2017,1,104.8,15/04/2017
2016,12,103.3,21/03/2017
2016,11,102.9,15/02/2017
2016,10,102.5,14/01/2017
2016,9,102.4,21/12/2016
2016,8,102.0,17/11/2016
2016,7,102.6,13/10/2016
2016,6,103.0,21/09/2016
2016,5,102.0,13/08/2016
2016,4,101.1,14/07/2016
2016,3,101.0,22/06/2016
2016,2,100.4,15/05/2016
2016,1,100.6,14/04/2016
2015,12,101.4,24/03/2016
2015,11,101.9,14/02/2016
2015,10,102.0,16/01/2016
2015,9,101.9,23/12/2015
2015,8,102.3,21/11/2015
2015,7,103.4,16/10/2015
2015,6,104.0,20/09/2015
2015,5,104.2,18/08/2015
2015,4,103.9,26/07/2015
2015,3,103.9,20/06/2015
2015,2,103.3,17/05/2015
2015,1,102.3,18/04/2015
2014,12,103.6,15/03/2015
2014,11,104.6,15/02/2015
2014,10,105.2,16/01/2015
