Annee,Mois,Valeur,Date parution au JO
2020,8,112.8,20/11/2020
2020,7,112.8,16/10/2020
2020,6,114.2,16/09/2020
2020,5,114.2,23/08/2020
2020,4,114.2,17/07/2020
2020,3,115.0,19/06/2020
2020,2,115.0,16/05/2020
2020,1,115.0,14/05/2020
2019,12,114.9,21/03/2020
2019,11,114.9,15/02/2020
2019,10,114.9,17/01/2020
2019,9,114.7,20/12/2019
2019,8,114.7,16/11/2019
2019,7,114.7,19/10/2019
2019,6,114.6,21/09/2019
2019,5,114.6,23/08/2019
2019,4,114.6,19/07/2019
2019,3,114.7,22/06/2019
2019,2,114.7,16/05/2019
2019,1,114.7,18/04/2019
2018,12,114.5,23/03/2019
2018,11,114.5,19/02/2019
2018,10,114.5,19/01/2019
2018,9,114.5,21/12/2018
2018,8,114.5,15/11/2018
2018,7,114.5,12/10/2018
2018,6,114.7,15/09/2018
2018,5,114.7,17/08/2018
2018,4,114.7,17/07/2018
2018,3,113.9,27/06/2018
2018,2,113.9,16/05/2018
2018,1,113.9,03/05/2018
2017,12,111.5,22/03/2018
2017,11,111.5,21/02/2018
2017,10,111.5,17/01/2018
2017,9,106.1,22/12/2017
2017,8,106.1,15/11/2017
2017,7,106.1,13/10/2017
2017,6,107.4,16/09/2017
2017,5,107.4,11/08/2017
2017,4,107.4,16/07/2017
2017,3,105.3,05/07/2017
2017,2,105.3,14/05/2017
2017,1,105.3,15/04/2017
2016,12,105.0,21/03/2017
2016,11,105.0,15/02/2017
2016,10,105.0,14/01/2017
2016,9,104.9,21/12/2016
2016,8,104.9,17/11/2016
2016,7,104.9,13/10/2016
2016,6,103.7,21/09/2016
2016,5,103.7,13/08/2016
2016,4,103.7,14/07/2016
2016,3,104.5,22/06/2016
2016,2,104.5,15/05/2016
2016,1,104.5,14/04/2016
2015,12,105.3,24/03/2016
2015,11,105.3,14/02/2016
2015,10,105.3,16/01/2016
2015,9,107.0,23/12/2015
2015,8,107.0,21/11/2015
2015,7,107.0,16/10/2015
2015,6,106.3,20/09/2015
2015,5,106.3,18/08/2015
2015,4,106.3,26/07/2015
2015,3,101.1,20/06/2015
2015,2,101.1,17/05/2015
2015,1,101.1,18/04/2015
2014,12,106.8,15/03/2015
2014,11,106.8,15/02/2015
2014,10,106.8,16/01/2015
