Annee,Mois,Valeur,Date parution au JO
2020,8,126.8,20/11/2020
2020,7,126.7,16/10/2020
2020,6,125.7,16/09/2020
2020,5,125.6,23/08/2020
2020,4,125.7,17/07/2020
2020,3,122.8,19/06/2020
2020,2,123.2,16/05/2020
2020,1,123.3,14/05/2020
2019,12,121.6,21/03/2020
2019,11,121.4,15/02/2020
2019,10,121.2,17/01/2020
2019,9,124.6,20/12/2019
2019,8,124.5,16/11/2019
2019,7,124.2,19/10/2019
2019,6,123.3,21/09/2019
2019,5,123.4,23/08/2019
2019,4,123.1,19/07/2019
2019,3,118.0,22/06/2019
2019,2,117.7,16/05/2019
2019,1,117.4,18/04/2019
2018,12,119.2,23/03/2019
2018,11,119.3,19/02/2019
2018,10,119.2,19/01/2019
2018,9,119.8,21/12/2018
2018,8,119.6,15/11/2018
2018,7,119.4,12/10/2018
2018,6,119.4,15/09/2018
2018,5,119.3,17/08/2018
2018,4,118.9,17/07/2018
2018,3,118.7,27/06/2018
2018,2,118.6,16/05/2018
2018,1,118.5,03/05/2018
2017,12,116.8,22/03/2018
2017,11,116.7,21/02/2018
2017,10,116.5,17/01/2018
2017,9,116.5,22/12/2017
2017,8,116.3,15/11/2017
2017,7,116.1,13/10/2017
2017,6,116.9,16/09/2017
2017,5,116.9,11/08/2017
2017,4,117.0,16/07/2017
2017,3,120.9,05/07/2017
2017,2,120.8,14/05/2017
2017,1,120.7,15/04/2017
2016,12,116.6,21/03/2017
2016,11,116.4,15/02/2017
2016,10,116.2,14/01/2017
2016,9,119.1,21/12/2016
2016,8,118.9,17/11/2016
2016,7,119.0,13/10/2016
2016,6,117.3,21/09/2016
2016,5,116.9,13/08/2016
2016,4,116.6,14/07/2016
2016,3,118.5,22/06/2016
2016,2,118.3,15/05/2016
2016,1,118.3,14/04/2016
2015,12,116.7,24/03/2016
2015,11,116.8,14/02/2016
2015,10,116.8,14/02/2016
2015,9,114.7,23/12/2015
2015,8,114.9,21/11/2015
2015,7,115.0,16/10/2015
2015,6,115.2,20/09/2015
2015,5,115.3,18/08/2015
2015,4,115.2,26/07/2015
2015,3,115.0,20/06/2015
2015,2,114.7,17/05/2015
2015,1,114.5,18/04/2015
2014,12,114.6,15/03/2015
2014,11,114.8,15/02/2015
2014,10,115.1,16/01/2015
