Annee,Mois,Valeur,Date parution au JO
2020,8,144.3,20/11/2020
2020,7,144.3,16/10/2020
2020,6,142.0,16/09/2020
2020,5,142.0,23/08/2020
2020,4,142.0,17/07/2020
2020,3,132.8,19/06/2020
2020,2,132.8,16/05/2020
2020,1,132.8,14/05/2020
2019,12,128.4,21/03/2020
2019,11,128.4,15/02/2020
2019,10,128.4,17/01/2020
2019,9,138.6,20/12/2019
2019,8,138.6,16/11/2019
2019,7,138.6,19/10/2019
2019,6,135.9,21/09/2019
2019,5,135.9,23/08/2019
2019,4,135.9,19/07/2019
2019,3,121.8,22/06/2019
2019,2,121.8,16/05/2019
2019,1,121.8,18/04/2019
2018,12,126.4,23/03/2019
2018,11,126.4,19/02/2019
2018,10,126.4,19/01/2019
2018,9,129.3,21/12/2018
2018,8,129.3,15/11/2018
2018,7,129.3,12/10/2018
2018,6,129.6,15/09/2018
2018,5,129.6,17/08/2018
2018,4,129.6,17/07/2018
2018,3,129.8,27/06/2018
2018,2,129.8,16/05/2018
2018,1,129.8,03/05/2018
2017,12,126.4,22/03/2018
2017,11,126.4,21/02/2018
2017,10,126.4,17/01/2018
2017,9,127.0,22/12/2017
2017,8,127.0,15/11/2017
2017,7,127.0,13/10/2017
2017,6,129.6,16/09/2017
2017,5,129.6,11/08/2017
2017,4,129.6,16/07/2017
2017,3,140.7,05/07/2017
2017,2,140.7,14/05/2017
2017,1,140.7,15/04/2017
2016,12,130.1,21/03/2017
2016,11,130.1,15/02/2017
2016,10,130.1,14/01/2017
2016,9,139.2,21/12/2016
2016,8,139.2,17/11/2016
2016,7,139.2,13/10/2016
2016,6,134.2,21/09/2016
2016,5,134.2,13/08/2016
2016,4,134.2,14/07/2016
2016,3,140.1,22/06/2016
2016,2,140.1,15/05/2016
2016,1,140.1,14/04/2016
2015,12,135.0,24/03/2016
2015,11,135.0,14/02/2016
2015,10,135.0,14/02/2016
2015,9,129.0,23/12/2015
2015,8,129.0,21/11/2015
2015,7,129.0,16/10/2015
2015,6,129.2,20/09/2015
2015,5,129.2,18/08/2015
2015,4,129.2,26/07/2015
2015,3,128.7,20/06/2015
2015,2,128.7,17/05/2015
2015,1,128.7,18/04/2015
2014,12,128.1,15/03/2015
2014,11,128.1,15/02/2015
2014,10,128.1,16/01/2015
