Annee,Mois,Valeur,Date parution au JO
2020,8,105.7,20/11/2020
2020,7,105.7,16/10/2020
2020,6,105.7,16/09/2020
2020,5,105.7,23/08/2020
2020,4,105.7,17/07/2020
2020,3,105.7,19/06/2020
2020,2,105.7,16/05/2020
2020,1,105.7,14/05/2020
2019,12,105.7,21/03/2020
2019,11,105.7,15/02/2020
2019,10,105.7,17/01/2020
2019,9,105.7,20/12/2019
2019,8,105.0,16/11/2019
2019,7,105.0,19/10/2019
2019,6,105.0,21/09/2019
2019,5,105.0,23/08/2019
2019,4,105.0,19/07/2019
2019,3,105.0,22/06/2019
2019,2,105.0,16/05/2019
2019,1,105.0,18/04/2019
2018,12,105.0,23/03/2019
2018,11,105.0,19/02/2019
2018,10,105.0,19/01/2019
2018,9,105.0,21/12/2018
2018,8,103.3,15/11/2018
2018,7,103.3,12/10/2018
2018,6,103.3,15/09/2018
2018,5,103.3,17/08/2018
2018,4,103.3,17/07/2018
2018,3,103.3,27/06/2018
2018,2,103.3,16/05/2018
2018,1,103.3,03/05/2018
2017,12,103.3,22/03/2018
2017,11,103.3,21/02/2018
2017,10,103.3,17/01/2018
2017,9,103.3,22/12/2017
2017,8,102.4,15/11/2017
2017,7,102.4,13/10/2017
2017,6,102.4,16/09/2017
2017,5,102.4,11/08/2017
2017,4,102.4,16/07/2017
2017,3,102.4,05/07/2017
2017,2,102.4,14/05/2017
2017,1,102.4,15/04/2017
2016,12,102.4,21/03/2017
2016,11,102.4,15/02/2017
2016,10,102.4,14/01/2017
2016,9,102.4,21/12/2016
2016,8,102.4,17/11/2016
2016,7,102.4,13/10/2016
2016,6,102.4,21/09/2016
2016,5,102.4,13/08/2016
2016,4,102.4,14/07/2016
2016,3,102.4,22/06/2016
2016,2,102.4,15/05/2016
2016,1,102.4,14/04/2016
2015,12,102.4,24/03/2016
2015,11,102.4,14/02/2016
2015,10,102.4,16/01/2016
2015,9,102.4,23/12/2015
2015,8,102.5,21/11/2015
2015,7,102.5,16/10/2015
2015,6,102.5,20/09/2015
2015,5,102.5,18/08/2015
2015,4,102.5,26/07/2015
2015,3,102.5,20/06/2015
2015,2,102.5,17/05/2015
2015,1,102.5,18/04/2015
2014,12,102.5,15/03/2015
2014,11,102.5,15/02/2015
2014,10,102.5,16/01/2015
