Annee,Mois,Valeur,Date parution au JO
2020,8,116.5,20/11/2020
2020,7,116.5,16/10/2020
2020,6,116.6,16/09/2020
2020,5,116.7,23/08/2020
2020,4,116.0,17/07/2020
2020,3,116.0,19/06/2020
2020,2,116.0,16/05/2020
2020,1,115.1,14/05/2020
2019,12,113.7,21/03/2020
2019,11,111.5,15/02/2020
2019,10,111.8,17/01/2020
2019,9,112.7,20/12/2019
2019,8,112.8,16/11/2019
2019,7,112.8,19/10/2019
2019,6,112.8,21/09/2019
2019,5,112.8,23/08/2019
2019,4,113.8,19/07/2019
2019,3,111.3,22/06/2019
2019,2,110.0,16/05/2019
2019,1,109.7,18/04/2019
2018,12,112.0,23/03/2019
2018,11,111.5,19/02/2019
2018,10,111.8,19/01/2019
2018,9,111.2,21/12/2018
2018,8,111.0,15/11/2018
2018,7,110.9,12/10/2018
2018,6,107.3,15/09/2018
2018,5,108.0,17/08/2018
2018,4,107.9,17/07/2018
2018,3,111.1,27/06/2018
2018,2,111.0,16/05/2018
2018,1,110.9,03/05/2018
2017,12,110.9,22/03/2018
2017,11,110.3,21/02/2018
2017,10,109.3,17/01/2018
2017,9,109.3,22/12/2017
2017,8,109.6,15/11/2017
2017,7,109.6,13/10/2017
2017,6,108.5,16/09/2017
2017,5,109.8,11/08/2017
2017,4,109.3,16/07/2017
2017,3,109.0,05/07/2017
2017,2,109.4,14/05/2017
2017,1,112.3,15/04/2017
2016,12,111.0,21/03/2017
2016,11,111.4,15/02/2017
2016,10,112.2,14/01/2017
2016,9,111.4,21/12/2016
2016,8,111.0,17/11/2016
2016,7,111.0,13/10/2016
2016,6,113.9,21/09/2016
2016,5,113.0,13/08/2016
2016,4,112.9,14/07/2016
2016,3,111.6,22/06/2016
2016,2,113.8,15/05/2016
2016,1,113.6,14/04/2016
2015,12,114.2,24/03/2016
2015,11,112.4,14/02/2016
2015,10,110.4,16/01/2016
2015,9,110.4,23/12/2015
2015,8,107.7,21/11/2015
2015,7,108.5,16/10/2015
2015,6,109.3,20/09/2015
2015,5,108.3,18/08/2015
2015,4,107.5,26/07/2015
2015,3,107.5,20/06/2015
2015,2,107.8,17/05/2015
2015,1,107.9,18/04/2015
2014,12,105.4,15/03/2015
2014,11,105.4,15/02/2015
2014,10,105.6,16/01/2015
