Annee,Mois,Valeur,Date parution au JO
2020,8,107.5,20/11/2020
2020,7,107.5,16/10/2020
2020,6,107.5,16/09/2020
2020,5,111.4,23/08/2020
2020,4,111.4,17/07/2020
2020,3,111.4,19/06/2020
2020,2,110.5,16/05/2020
2020,1,110.5,14/05/2020
2019,12,110.5,21/03/2020
2019,11,110.1,15/02/2020
2019,10,110.1,17/01/2020
2019,9,110.1,20/12/2019
2019,8,110.1,16/11/2019
2019,7,110.1,19/10/2019
2019,6,110.1,21/09/2019
2019,5,109.0,23/08/2019
2019,4,109.0,19/07/2019
2019,3,109.0,22/06/2019
2019,2,108.2,16/05/2019
2019,1,108.2,18/04/2019
2018,12,108.2,23/03/2019
2018,11,108.2,19/02/2019
2018,10,108.2,19/01/2019
2018,9,108.2,21/12/2018
2018,8,108.1,15/11/2018
2018,7,108.1,12/10/2018
2018,6,108.1,15/09/2018
2018,5,107.6,17/08/2018
2018,4,107.6,17/07/2018
2018,3,107.6,27/06/2018
2018,2,105.6,16/05/2018
2018,1,105.6,03/05/2018
2017,12,105.6,22/03/2018
2017,11,105.0,21/02/2018
2017,10,105.0,17/01/2018
2017,9,105.0,22/12/2017
2017,8,105.0,15/11/2017
2017,7,105.0,13/10/2017
2017,6,105.0,16/09/2017
2017,5,105.4,11/08/2017
2017,4,105.4,16/07/2017
2017,3,105.4,05/07/2017
2017,2,106.1,14/05/2017
2017,1,106.1,15/04/2017
2016,12,106.1,21/03/2017
2016,11,105.7,15/02/2017
2016,10,105.7,14/01/2017
2016,9,105.7,21/12/2016
2016,8,104.1,17/11/2016
2016,7,104.1,13/10/2016
2016,6,104.1,21/09/2016
2016,5,103.6,13/08/2016
2016,4,103.6,14/07/2016
2016,3,103.6,22/06/2016
2016,2,105.3,15/05/2016
2016,1,105.3,14/04/2016
2015,12,105.3,24/03/2016
2015,11,104.2,14/02/2016
2015,10,104.2,16/01/2016
2015,9,104.2,23/12/2015
2015,8,104.8,21/11/2015
2015,7,104.8,16/10/2015
2015,6,104.8,20/09/2015
2015,5,103.9,18/08/2015
2015,4,103.9,26/07/2015
2015,3,105.5,20/06/2015
2015,2,105.5,17/05/2015
2015,1,105.5,18/04/2015
2014,12,105.5,15/03/2015
2014,11,105.7,15/02/2015
2014,10,105.7,16/01/2015
