Annee,Mois,Valeur,Date parution au JO
2020,8,110.8,20/11/2020
2020,7,110.8,16/10/2020
2020,6,111.2,16/09/2020
2020,5,111.2,23/08/2020
2020,4,111.2,17/07/2020
2020,3,113.3,19/06/2020
2020,2,113.3,16/05/2020
2020,1,113.3,14/05/2020
2019,12,113.0,21/03/2020
2019,11,113.0,15/02/2020
2019,10,113.0,17/01/2020
2019,9,112.6,20/12/2019
2019,8,112.6,16/11/2019
2019,7,112.6,19/10/2019
2019,6,112.5,21/09/2019
2019,5,112.5,23/08/2019
2019,4,112.5,19/07/2019
2019,3,111.9,22/06/2019
2019,2,111.9,16/05/2019
2019,1,111.9,18/04/2019
2018,12,112.2,23/03/2019
2018,11,112.2,19/02/2019
2018,10,112.2,19/01/2019
2018,9,111.7,21/12/2018
2018,8,111.7,15/11/2018
2018,7,111.7,12/10/2018
2018,6,111.4,15/09/2018
2018,5,111.4,17/08/2018
2018,4,111.4,17/07/2018
2018,3,110.4,27/06/2018
2018,2,110.4,16/05/2018
2018,1,110.4,03/05/2018
2017,12,108.3,22/03/2018
2017,11,108.3,21/02/2018
2017,10,108.3,17/01/2018
2017,9,105.2,22/12/2017
2017,8,105.2,15/11/2017
2017,7,105.2,13/10/2017
2017,6,106.0,16/09/2017
2017,5,106.0,11/08/2017
2017,4,106.0,16/07/2017
2017,3,104.9,05/07/2017
2017,2,104.9,14/05/2017
2017,1,104.9,15/04/2017
2016,12,104.1,21/03/2017
2016,11,104.1,15/02/2017
2016,10,104.1,14/01/2017
2016,9,103.5,21/12/2016
2016,8,103.5,17/11/2016
2016,7,103.5,13/10/2016
2016,6,102.4,21/09/2016
2016,5,102.4,13/08/2016
2016,4,102.4,14/07/2016
2016,3,102.3,22/06/2016
2016,2,102.3,15/05/2016
2016,1,102.3,14/04/2016
2015,12,103.4,24/03/2016
2015,11,103.4,14/02/2016
2015,10,103.4,16/01/2016
2015,9,105.0,23/12/2015
2015,8,105.0,21/11/2015
2015,7,105.0,16/10/2015
2015,6,104.7,20/09/2015
2015,5,104.7,18/08/2015
2015,4,104.7,26/07/2015
2015,3,104.1,26/07/2015
2015,2,104.1,26/07/2015
2015,1,104.1,26/07/2015
2014,12,105.9,26/07/2015
2014,11,105.9,26/07/2015
2014,10,105.9,26/07/2015
