Annee,Mois,Valeur,Date parution au JO
2020,8,115.2,20/11/2020
2020,7,115.0,16/10/2020
2020,6,114.8,16/09/2020
2020,5,114.9,23/08/2020
2020,4,115.1,17/07/2020
2020,3,115.4,19/06/2020
2020,2,115.5,16/05/2020
2020,1,115.4,14/05/2020
2019,12,115.2,21/03/2020
2019,11,115.3,15/02/2020
2019,10,115.2,17/01/2020
2019,9,115.1,20/12/2019
2019,8,115.0,16/11/2019
2019,7,114.9,19/10/2019
2019,6,114.8,21/09/2019
2019,5,114.6,23/08/2019
2019,4,114.4,19/07/2019
2019,3,114.0,22/06/2019
2019,2,113.8,16/05/2019
2019,1,113.5,18/04/2019
2018,12,113.4,23/03/2019
2018,11,113.7,19/02/2019
2018,10,113.5,19/01/2019
2018,9,113.2,21/12/2018
2018,8,112.8,15/11/2018
2018,7,112.5,12/10/2018
2018,6,112.5,15/09/2018
2018,5,112.1,17/08/2018
2018,4,111.6,17/07/2018
2018,3,111.3,27/06/2018
2018,2,110.9,16/05/2018
2018,1,110.8,03/05/2018
2017,12,110.3,22/03/2018
2017,11,110.2,21/02/2018
2017,10,110.1,17/01/2018
2017,9,110.0,22/12/2017
2017,8,109.8,15/11/2017
2017,7,109.8,13/10/2017
2017,6,109.7,16/09/2017
2017,5,109.5,11/08/2017
2017,4,109.6,16/07/2017
2017,3,109.4,05/07/2017
2017,2,109.2,14/05/2017
